caminho,titulo,wikilinks,relevancia,termos
0 - VAULT/1 NOTAS LITERAIS/Interesses de Pesquisa-merged.md,1.1,1254,13,\bChatGPT\b; \bClaude\b; \bGPT\b; \bLLM\b; \b[iI]\.?[aA]\.?\b; \b[iI]nteligência [aA]rtificial\b; \bagent[es]?\b; \bantropoceno\b; \bhuman[oa]?-[iI][aA]\b; \bhíbrid[oa]s?\b; \bmetodologi[a]?\b; \bmodelo[s]? de linguagem\b; \bprompt[s]?\b
06-ARQUIVO/conhecimento-consolidado/Interesses de Pesquisa-merged.md,1.1,1254,13,\bChatGPT\b; \bClaude\b; \bGPT\b; \bLLM\b; \b[iI]\.?[aA]\.?\b; \b[iI]nteligência [aA]rtificial\b; \bagent[es]?\b; \bantropoceno\b; \bhuman[oa]?-[iI][aA]\b; \bhíbrid[oa]s?\b; \bmetodologi[a]?\b; \bmodelo[s]? de linguagem\b; \bprompt[s]?\b
dissertacao-automatica/CAPITULO_3_TECNOLOGIA_EPISTEME.md,CAPÍTULO 3: TECNOLOGIA E TRANSFORMAÇÃO EPISTÊMICA,5,11,\bChatGPT\b; \bClaude\b; \bGPT\b; \bLLM\b; \b[iI]\.?[aA]\.?\b; \b[iI]nteligência [aA]rtificial\b; \bagent[es]?\b; \bhuman[oa]?-[iI][aA]\b; \bhuman[oa]?-máquina\b; \bhíbrid[oa]s?\b; \bprompt[s]?\b
dissertacao-automatica/DISSERTACAO_FINAL_CONSOLIDADA.md,A NOVA EPISTEME DIGITAL:,0,11,\bChatGPT\b; \bGPT\b; \b[iI]\.?[aA]\.?\b; \b[iI]nteligência [aA]rtificial\b; \bagenciamento\b; \bcoautoria\b; \bhuman[oa]?-[iI][aA]\b; \bhuman[oa]?-máquina\b; \bhíbrid[oa]s?\b; \bmetodologi[a]?\b; \bprompt[s]?\b
03-REFLEXOES/desenvolvimento-pessoal/DIARIO/gemini - deep research on deep research.md,"Inteligência Artificial na Pesquisa Bibliográfica e Revisão de Literatura: Estado Atual, Eficácia e Rigor Científico",0,11,\bChatGPT\b; \bClaude\b; \bGPT\b; \bLLM\b; \b[iI]\.?[aA]\.?\b; \b[iI]nteligência [aA]rtificial\b; \bcoautoria\b; \bhuman[oa]?-[iI][aA]\b; \bhíbrid[oa]s?\b; \bmetodologi[a]?\b; \bprompt[s]?\b
dissertacao-automatica/CAPITULO_4_ANALISE_CORPUS.md,CAPÍTULO 4: ANÁLISE DO CORPUS,14,10,\bChatGPT\b; \bGPT\b; \b[iI]\.?[aA]\.?\b; \b[iI]nteligência [aA]rtificial\b; \bagenciamento\b; \bhuman[oa]?-[iI][aA]\b; \bhuman[oa]?-máquina\b; \bhíbrid[oa]s?\b; \bmetodologi[a]?\b; \bprompt[s]?\b
dissertacao-automatica/CAPITULO_1_FUNDAMENTACAO.md,CAPÍTULO 1: FUNDAMENTAÇÃO TEÓRICO-METODOLÓGICA,8,10,\bChatGPT\b; \bGPT\b; \b[iI]\.?[aA]\.?\b; \b[iI]nteligência [aA]rtificial\b; \bagent[es]?\b; \bhuman[oa]?-[iI][aA]\b; \bhuman[oa]?-máquina\b; \bhíbrid[oa]s?\b; \bmetodologi[a]?\b; \bprompt[s]?\b
dissertacao-automatica/REVISAO_ESTRUTURAL_FINAL.md,REVISÃO ESTRUTURAL FINAL,4,10,\bChatGPT\b; \bGPT\b; \b[iI]\.?[aA]\.?\b; \bagenciamento\b; \bagent[es]?\b; \bhuman[oa]?-[iI][aA]\b; \bhuman[oa]?-máquina\b; \bhíbrid[oa]s?\b; \bmetodologi[a]?\b; \bprompt[s]?\b
01-INBOX/4 Metodologia simplificada....md,Metodologia simplificada...,0,10,\bChatGPT\b; \bClaude\b; \bGPT\b; \b[iI]\.?[aA]\.?\b; \b[iI]nteligência [aA]rtificial\b; \bmetodologi[a]?\b; \bmodelo[s]? de linguagem\b; \bmétodo[s]? mist[oa]s?\b; \bprompt[s]?\b; \btriangula[çc][ãa]o\b
dissertacao-automatica/CONCLUSAO.md,CONCLUSÃO,0,10,\bClaude\b; \bGPT\b; \b[iI]\.?[aA]\.?\b; \b[iI]nteligência [aA]rtificial\b; \bagenciamento\b; \bhuman[oa]?-[iI][aA]\b; \bhuman[oa]?-máquina\b; \bhíbrid[oa]s?\b; \bprompt[s]?\b; \bpós-human[oa]s?\b
dissertacao-automatica/MAPA_CONCEITUAL_INTEGRADO.md,MAPA CONCEITUAL INTEGRADO,18,9,\bChatGPT\b; \bGPT\b; \b[iI]\.?[aA]\.?\b; \b[iI]nteligência [aA]rtificial\b; \bcoautoria\b; \bhuman[oa]?-[iI][aA]\b; \bhuman[oa]?-máquina\b; \bhíbrid[oa]s?\b; \bmetodologi[a]?\b
META-ANALISE/clusters-metodologia/LOG_PROCESSO_DISSERTACAO.md,LOG DO PROCESSO: CRIAÇÃO DA DISSERTAÇÃO,8,9,\bChatGPT\b; \bClaude\b; \b[iI]\.?[aA]\.?\b; \bagenciamento\b; \bagent[es]?\b; \bhuman[oa]?-[iI][aA]\b; \bhíbrid[oa]s?\b; \bmetodologi[a]?\b; \bprompt[s]?\b
02-INVESTIGACOES/pesquisas-especificas/estudos-diversos/criando-linhas-investigacao-basica-o3-mini.md,Detecção de IA em Textos...,0,9,\bChatGPT\b; \bGPT\b; \b[iI]\.?[aA]\.?\b; \bhuman[oa]?-[iI][aA]\b; \bhíbrid[oa]s?\b; \bmetodologi[a]?\b; \bmodelo[s]? de linguagem\b; \bprompt[s]?\b; \btriangula[çc][ãa]o\b
0 - VAULT/1 NOTAS LITERAIS/filosofia-merged.md,5 coisas sobre existencialismo,614,8,\bChatGPT\b; \bClaude\b; \bGPT\b; \b[iI]\.?[aA]\.?\b; \b[iI]nteligência [aA]rtificial\b; \bantropoceno\b; \bmetodologi[a]?\b; \bprompt[s]?\b
0 - VAULT/1 NOTAS LITERAIS/ECCO-merged.md,gpt 4 brainstorming TCC - 16,215,8,\bChatGPT\b; \bGPT\b; \b[iI]\.?[aA]\.?\b; \b[iI]nteligência [aA]rtificial\b; \bhíbrid[oa]s?\b; \bmetodologi[a]?\b; \bmodelo[s]? de linguagem\b; \bprompt[s]?\b
05-PROJETOS/mestrado-ufmt/ECCO-merged.md,gpt 4 brainstorming TCC - 16,215,8,\bChatGPT\b; \bGPT\b; \b[iI]\.?[aA]\.?\b; \b[iI]nteligência [aA]rtificial\b; \bhíbrid[oa]s?\b; \bmetodologi[a]?\b; \bmodelo[s]? de linguagem\b; \bprompt[s]?\b
05-PROJETOS/mestrado-ufmt/NOTAS ECCO - OBSIDIAN.md,gpt 4 brainstorming TCC - 16,215,8,\bChatGPT\b; \bGPT\b; \b[iI]\.?[aA]\.?\b; \b[iI]nteligência [aA]rtificial\b; \bhíbrid[oa]s?\b; \bmetodologi[a]?\b; \bmodelo[s]? de linguagem\b; \bprompt[s]?\b
dissertacao-automatica/CAPITULO_2_LITERATURA_CIBERCULTURA.md,CAPÍTULO 2: LITERATURA DIGITAL E CIBERCULTURA,4,8,\bChatGPT\b; \bGPT\b; \b[iI]\.?[aA]\.?\b; \bagenciamento\b; \bcoautoria\b; \bhuman[oa]?-máquina\b; \bhíbrid[oa]s?\b; \bprompt[s]?\b
03-REFLEXOES/desenvolvimento-pessoal/DIARIO/como é e como funciona o notebooklm.md,"Google NotebookLM para Aprendizagem Contínua e Pesquisa Acadêmica: Análise, Integração com Obsidian e Estratégias Otimizadas",4,8,\bChatGPT\b; \b[iI]\.?[aA]\.?\b; \b[iI]nteligência [aA]rtificial\b; \bhuman[oa]?-[iI][aA]\b; \bhíbrid[oa]s?\b; \bmodelo[s]? de linguagem\b; \bprompt[s]?\b; \btriangula[çc][ãa]o\b
